,index,Province/State,Country/Region,Lat,Long,Date,Confirmed,Deaths,Recovered,Check,Active Cases
184,60699,,Paraguay,-23.4425,-58.4438,2020-09-23,35571,727,19867,35571,14977
185,60700,,Peru,-9.19,-75.0152,2020-09-23,776546,31568,636489,776546,108489
186,60701,,Philippines,12.879721,121.774017,2020-09-23,294591,5091,231373,294591,58127
187,60702,,Poland,51.9194,19.1451,2020-09-23,81673,2344,65561,81673,13768
188,60703,,Portugal,39.3999,-8.2245,2020-09-23,70465,1928,46290,70465,22247
189,60704,,Qatar,25.3548,51.1839,2020-09-23,124175,212,121006,124175,2957
190,60705,,Romania,45.9432,24.9668,2020-09-23,116415,4550,93558,116415,18307
191,60706,,Russia,61.52401,105.318756,2020-09-23,1117487,19720,920602,1117487,177165
192,60707,,Rwanda,-1.9403,29.8739,2020-09-23,4779,27,2995,4779,1757
193,60708,,Saint Kitts and Nevis,17.357822,-62.782998,2020-09-23,19,0,17,19,2
194,60709,,Saint Lucia,13.9094,-60.9789,2020-09-23,27,0,26,27,1
195,60710,,Saint Vincent and the Grenadines,12.9843,-61.2872,2020-09-23,64,0,64,64,0
196,60711,,San Marino,43.9424,12.4578,2020-09-23,723,42,669,723,12
197,60712,,Sao Tome and Principe,0.1864,6.6131,2020-09-23,908,15,880,908,13
198,60713,,Saudi Arabia,23.885942,45.079162,2020-09-23,331359,4569,313786,331359,13004
199,60714,,Senegal,14.4974,-14.4524,2020-09-23,14795,303,11718,14795,2774
200,60715,,Serbia,44.0165,21.0059,2020-09-23,33080,744,0,33080,32336
201,60716,,Seychelles,-4.6796,55.492,2020-09-23,143,0,136,143,7
202,60717,,Sierra Leone,8.460555000000001,-11.779889,2020-09-23,2183,72,1665,2183,446
203,60718,,Singapore,1.2833,103.8333,2020-09-23,57639,27,57291,57639,321
204,60719,,Slovakia,48.669,19.699,2020-09-23,7269,41,3888,7269,3340
205,60720,,Slovenia,46.1512,14.9955,2020-09-23,4694,143,3168,4694,1383
206,60721,,Somalia,5.152149,46.199616,2020-09-23,3465,98,2877,3465,490
207,60722,,South Africa,-30.5595,22.9375,2020-09-23,665188,16206,594229,665188,54753
208,60723,,South Sudan,6.877000000000002,31.307,2020-09-23,2664,49,1290,2664,1325
209,60724,,Spain,40.463667,-3.74922,2020-09-23,693556,31034,150376,693556,512146
210,60725,,Sri Lanka,7.873054,80.77179699999998,2020-09-23,3324,13,3129,3324,182
211,60726,,Sudan,12.8628,30.2176,2020-09-23,13578,836,6760,13578,5982
212,60727,,Suriname,3.9193,-56.0278,2020-09-23,4779,101,4560,4779,118
213,60728,,Sweden,60.128161,18.643501,2020-09-23,89756,5876,0,89756,83880
214,60729,,Switzerland,46.8182,8.2275,2020-09-23,51101,2060,42100,51101,6941
215,60730,,Taiwan*,23.7,121.0,2020-09-23,509,7,480,509,22
216,60731,,Tajikistan,38.861,71.2761,2020-09-23,9475,74,8244,9475,1157
217,60732,,Tanzania,-6.369028,34.888822,2020-09-23,509,21,183,509,305
218,60733,,Thailand,15.870032,100.992541,2020-09-23,3516,59,3353,3516,104
219,60734,,Togo,8.6195,0.8248,2020-09-23,1701,41,1297,1701,363
220,60735,,Trinidad and Tobago,10.6918,-61.2225,2020-09-23,4136,67,1960,4136,2109
221,60736,,Tunisia,33.886917,9.537499,2020-09-23,12479,174,2386,12479,9919
222,60737,,Turkey,38.9637,35.2433,2020-09-23,308069,7711,270723,308069,29635
223,60738,,US,40.0,-100.0,2020-09-23,6933548,201884,2670256,6933548,4061408
224,60739,,Uganda,1.373333,32.290275,2020-09-23,6879,69,2961,6879,3849
225,60740,,Ukraine,48.3794,31.1656,2020-09-23,189488,3784,84767,189488,100937
226,60741,,United Arab Emirates,23.424076,53.847818,2020-09-23,87530,406,76995,87530,10129
227,60742,Anguilla,United Kingdom,18.2206,-63.0686,2020-09-23,3,0,3,3,0
228,60743,Bermuda,United Kingdom,32.3078,-64.7505,2020-09-23,181,9,167,181,5
229,60744,British Virgin Islands,United Kingdom,18.4207,-64.64,2020-09-23,69,1,48,69,20
230,60745,Cayman Islands,United Kingdom,19.3133,-81.2546,2020-09-23,210,1,205,210,4
231,60746,Channel Islands,United Kingdom,49.3723,-2.3644,2020-09-23,654,48,575,654,31
232,60747,Falkland Islands (Malvinas),United Kingdom,-51.7963,-59.5236,2020-09-23,13,0,13,13,0
233,60748,Gibraltar,United Kingdom,36.1408,-5.3536,2020-09-23,357,0,324,357,33
234,60749,Isle of Man,United Kingdom,54.2361,-4.5481,2020-09-23,340,24,312,340,4
235,60750,Montserrat,United Kingdom,16.742498,-62.187366,2020-09-23,13,1,12,13,0
236,60751,Turks and Caicos Islands,United Kingdom,21.69400000000001,-71.7979,2020-09-23,676,5,588,676,83
237,60752,,United Kingdom,55.3781,-3.4360000000000004,2020-09-23,409729,41862,0,409729,367867
238,60753,,Uruguay,-32.5228,-55.7658,2020-09-23,1946,47,1661,1946,238
239,60754,,Uzbekistan,41.377491,64.585262,2020-09-23,53275,444,49649,53275,3182
240,60755,,Venezuela,6.4238,-66.5897,2020-09-23,69439,574,58759,69439,10106
241,60756,,Vietnam,14.058324,108.277199,2020-09-23,1069,35,991,1069,43
242,60757,,West Bank and Gaza,31.9522,35.2332,2020-09-23,37083,272,26288,37083,10523
243,60758,,Western Sahara,24.2155,-12.8858,2020-09-23,10,1,8,10,1
244,60759,,Yemen,15.552727,48.516388,2020-09-23,2029,586,1245,2029,198
245,60760,,Zambia,-13.133897,27.849332,2020-09-23,14443,332,13629,14443,482
246,60761,,Zimbabwe,-19.015438,29.154857,2020-09-23,7725,227,6007,7725,1491
